system:time_start,avg_rad
"Jan 1, 2014",23.486
"Feb 1, 2014",25.95
"Mar 1, 2014",30.194
"Apr 1, 2014",26.227
"May 1, 2014",20.682
"Jun 1, 2014",25.101
"Jul 1, 2014",24.956
"Aug 1, 2014",29.638
"Sep 1, 2014",27.225
"Oct 1, 2014",24.742
"Nov 1, 2014",23.797
"Dec 1, 2014",25.072
"Jan 1, 2015",28.236
"Feb 1, 2015",26.87
"Mar 1, 2015",25.6
"Apr 1, 2015",22.133
"May 1, 2015",26.586
"Jun 1, 2015",19.009
"Jul 1, 2015",23.882
"Aug 1, 2015",26.916
"Sep 1, 2015",23.265
"Oct 1, 2015",24.657
"Nov 1, 2015",26.826
"Dec 1, 2015",23.32
"Jan 1, 2016",21.921
"Feb 1, 2016",21.7
"Mar 1, 2016",24.717
"Apr 1, 2016",28.924
"May 1, 2016",26.306
"Jun 1, 2016",26.797
"Jul 1, 2016",26.589
"Aug 1, 2016",23.857
"Sep 1, 2016",23.13
"Oct 1, 2016",28.885
"Nov 1, 2016",31.208
"Dec 1, 2016",26.591
"Jan 1, 2017",31.238
"Feb 1, 2017",29.226
"Mar 1, 2017",29.84
"Apr 1, 2017",24.89
"May 1, 2017",25.684
"Jun 1, 2017",25.164
"Jul 1, 2017",25.644
"Aug 1, 2017",26.907
"Sep 1, 2017",25.579
"Oct 1, 2017",26.693
"Nov 1, 2017",29.82
"Dec 1, 2017",30.07
